# Matter power spectrum P(k) at redshift z=99
# for k=1.04775e-05 to 66.1767 h/Mpc,
# number of wavenumbers equal to 130
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691046e-05       7.262351965414e-03 
       1.319039970183e-05       9.069788556427e-03 
       1.660572937635e-05       1.132705245412e-02 
       2.090537469327e-05       1.414609649508e-02 
       2.631830744443e-05       1.766672520522e-02 
       3.313278603720e-05       2.206354104803e-02 
       4.171170630578e-05       2.755458470960e-02 
       5.251192703764e-05       3.441214376857e-02 
       6.610859936996e-05       4.297623010819e-02 
       8.322579568497e-05       5.367139744701e-02 
       1.047750691046e-04       6.702770303441e-02 
       1.319039970183e-04       8.370680078769e-02 
       1.660572937635e-04       1.045343992581e-01 
       2.090537469327e-04       1.305404539474e-01 
       2.631830744443e-04       1.630088068766e-01 
       3.313278603720e-04       2.035379618298e-01 
       4.171170630578e-04       2.541146684100e-01 
       5.251192703764e-04       3.172011940367e-01 
       6.610859936996e-04       3.958352922977e-01 
       8.322579568497e-04       4.937373468162e-01 
       1.047750691046e-03       6.154099108914e-01 
       1.319039970183e-03       7.661962477233e-01 
       1.660572937635e-03       9.522723544679e-01 
       2.090537469327e-03       1.180292858527e+00 
       2.631830744443e-03       1.456696234138e+00 
       3.313278603720e-03       1.786188033710e+00 
       4.171170630578e-03       2.169078121907e+00 
       5.251192703764e-03       2.597405358971e+00 
       6.610859936996e-03       3.050747988798e+00 
       8.322579568497e-03       3.493979751636e+00 
       1.047750691046e-02       3.878211312063e+00 
       1.319039970183e-02       4.139963781600e+00 
       1.660572937633e-02       4.195105448994e+00 
       2.090537453514e-02       3.948448976219e+00 
       2.631818545635e-02       3.335844836111e+00 
       3.311571692125e-02       2.402562606187e+00 
       4.113809243311e-02       1.424823456220e+00 
       4.792590854610e-02       8.370573528496e-01 
       5.284436902701e-02       5.477446451570e-01 
       5.689644391095e-02       3.791182943286e-01 
       6.051252627066e-02       2.697993734078e-01 
       6.388413457411e-02       1.945667146416e-01 
       6.711249296401e-02       1.408280884746e-01 
       7.025823437965e-02       1.014751534102e-01 
       7.336115587705e-02       7.216995374081e-02 
       7.644928796912e-02       5.014057289797e-02 
       7.954353299775e-02       3.356198808070e-02 
       8.266024078725e-02       2.121225835898e-02 
       8.581273398637e-02       1.225486793022e-02 
       8.901225918437e-02       6.094303637277e-03 
       9.226860540985e-02       2.270693654171e-03 
       9.559052048996e-02       3.824562936094e-04 
       9.898599946599e-02       3.559141029227e-05 
       1.024624891378e-01       8.158527973022e-04 
       1.060270359164e-01       2.288582281886e-03 
       1.096863943056e-01       4.022885930932e-03 
       1.134471073830e-01       5.632547043499e-03 
       1.173155669539e-01       6.822467062035e-03 
       1.212980586983e-01       7.424778585171e-03 
       1.254007961065e-01       7.412945480106e-03 
       1.296299459934e-01       6.882815100646e-03 
       1.339916477160e-01       6.009456543499e-03 
       1.384920277736e-01       4.988955303226e-03 
       1.431372111762e-01       3.987386004376e-03 
       1.479333307714e-01       3.110348641470e-03 
       1.528865355934e-01       2.399085920889e-03 
       1.580029992204e-01       1.844810908479e-03 
       1.632889290723e-01       1.410903212348e-03 
       1.687505775527e-01       1.054531524297e-03 
       1.743942559171e-01       7.437344194153e-04 
       1.802263517371e-01       4.681595814929e-04 
       1.862533508214e-01       2.395345207972e-04 
       1.924818644494e-01       8.071231119549e-05 
       1.989186627765e-01       7.610143531147e-06 
       2.055707152847e-01       6.322521463019e-06 
       2.124452391818e-01       4.078218942527e-05 
       2.195497567139e-01       7.543813119152e-05 
       2.268921624510e-01       9.032394953230e-05 
       2.344808017550e-01       8.627990961286e-05 
       2.423245618548e-01       7.539450408052e-05 
       2.504329772620e-01       6.554504502894e-05 
       2.588163516754e-01       5.801051333387e-05 
       2.674858990930e-01       5.098579997139e-05 
       2.764539076010e-01       4.039004284467e-05 
       2.857339303080e-01       2.551436929925e-05 
       2.953410092148e-01       1.177817734042e-05 
       3.052919395542e-01       3.336597986801e-06 
       3.156055844677e-01       3.279353201222e-07 
       3.263032530092e-01       3.193140706677e-08 
       3.374091587054e-01       4.003807935704e-07 
       3.489509817175e-01       9.261485639141e-07 
       3.609605657343e-01       1.667708668279e-06 
       3.734747921333e-01       2.194215914843e-06 
       3.865366902904e-01       2.052429052708e-06 
       4.001968667448e-01       1.355971372861e-06 
       4.145153713076e-01       7.386862672046e-07 
       4.295641718077e-01       3.525041433308e-07 
       4.454304922144e-01       1.431901660329e-07 
       4.622214006969e-01       2.274628946487e-08 
       4.800702491654e-01       2.087162459859e-09 
       4.991459272112e-01       1.868003288303e-08 
       5.196665217302e-01       2.530072068097e-08 
       5.419201087032e-01       2.360943882972e-08 
       5.662975451962e-01       1.108503941410e-08 
       5.933463737275e-01       1.592130796416e-09 
       6.238638458458e-01       1.522306874169e-10 
       6.590669257916e-01       1.976728036373e-09 
       7.009246080454e-01       2.523900383395e-09 
       7.528593308799e-01       9.960343629883e-10 
       8.213469537518e-01       8.502598876631e-11 
       9.196980813302e-01       3.032925928039e-11 
       1.075112183810e+00       3.675400760629e-11 
       1.322697471132e+00       8.078300877339e-12 
       1.662328205042e+00       2.720615623525e-12 
       2.092692408506e+00       7.092791728401e-13 
       2.634543445090e+00       2.491363947779e-13 
       3.316693691389e+00       7.709293293201e-14 
       4.175469971226e+00       2.884659365693e-14 
       5.256605252960e+00       1.035104168736e-14 
       6.617673932723e+00       3.666343766998e-15 
       8.331157880872e+00       6.991049371116e-16 
       1.048830636590e+01       5.097209859291e-16 
       1.320399541071e+01       1.389047835011e-16 
       1.662284535976e+01       1.886715366221e-17 
       2.092692243973e+01       1.974707804357e-17 
       2.634543445002e+01       7.827176606099e-18 
       3.316693691389e+01       1.491217003839e-17 
       4.175469971226e+01       4.275336359887e-19 
