# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.04775e-05 to 67.6233 h/Mpc,
# number of wavenumbers equal to 246
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_dmeff                5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.319039970183e-04      -1.922571607010e-01      -1.566571634990e-01      -1.566578884598e-01      -1.918220304219e-01      -1.566681993674e-01       4.724700765616e-01       4.723408303687e-01 
       1.424266597921e-04      -2.210734787457e-01      -1.826422296471e-01      -1.826432129559e-01      -2.204885532611e-01      -1.826542985965e-01       4.724475986001e-01       4.723209957182e-01 
       1.537887696968e-04      -2.536209534784e-01      -2.129362331527e-01      -2.129375663955e-01      -2.528361347680e-01      -2.129492363622e-01       4.724215074708e-01       4.722979361122e-01 
       1.660572937635e-04      -2.901738566763e-01      -2.482532503493e-01      -2.482550572867e-01      -2.891231431167e-01      -2.482669847896e-01       4.723912429441e-01       4.722711386121e-01 
       1.793045413292e-04      -3.309461134268e-01      -2.894255376360e-01      -2.894279853753e-01      -3.295430223631e-01      -2.894396524021e-01       4.723561659313e-01       4.722400136866e-01 
       1.936085902198e-04      -3.760529543430e-01      -3.374230361477e-01      -3.374263500144e-01      -3.741849491611e-01      -3.374369747662e-01       4.723155493612e-01       4.722038847332e-01 
       2.090537469327e-04      -4.254611877047e-01      -3.933760774952e-01      -3.933805610121e-01      -4.229829612758e-01      -3.933890030857e-01       4.722685694462e-01       4.721619773766e-01 
       2.257310435294e-04      -4.789266042573e-01      -4.586018086417e-01      -4.586078700098e-01      -4.756523759193e-01      -4.586125082447e-01       4.722142956347e-01       4.721134065528e-01 
       2.437387741694e-04      -5.359183644507e-01      -5.346349403325e-01      -5.346431274154e-01      -5.316134817904e-01      -5.346417050246e-01       4.721516832470e-01       4.720571652517e-01 
       2.631830744443e-04      -5.955323253062e-01      -6.232635152984e-01      -6.232745622265e-01      -5.899046061600e-01      -6.232639940428e-01       4.720795674455e-01       4.719921133572e-01 
       2.841785469300e-04      -6.563978151987e-01      -7.265704977437e-01      -7.265853855223e-01      -6.490902537522e-01      -7.265615235411e-01       4.719966544398e-01       4.719169622866e-01 
       3.068489366414e-04      -7.165890696221e-01      -8.469821283570e-01      -8.470021645334e-01      -7.071755245909e-01      -8.469595205353e-01       4.719015216026e-01       4.718302671212e-01 
       3.313278603720e-04      -7.735584277154e-01      -9.873241065586e-01      -9.873510282554e-01      -7.615458174019e-01      -9.872824573591e-01       4.717926131607e-01       4.717304129905e-01 
       3.577595942169e-04      -8.241193846954e-01      -1.150886863546e+00      -1.150922969761e+00      -8.089610223593e-01      -1.150819326537e+00       4.716682454093e-01       4.716156101613e-01 
       3.862999239199e-04      -8.645191228564e-01      -1.341501347883e+00      -1.341549669101e+00      -8.456449778973e-01      -1.341399458922e+00       4.715266112760e-01       4.714838886291e-01 
       4.171170630578e-04      -8.906490093919e-01      -1.563626979850e+00      -1.563691489773e+00      -8.675215929337e-01      -1.563480552714e+00       4.713657842075e-01       4.713330939095e-01 
       4.503926444729e-04      -8.984500148544e-01      -1.822453699397e+00      -1.822539578724e+00      -8.706528286329e-01      -1.822250858513e+00       4.711837266183e-01       4.711608918169e-01 
       4.863227907969e-04      -8.845573500082e-01      -2.124020292657e+00      -2.124134253892e+00      -8.519219456879e-01      -2.123747716836e+00       4.709782915566e-01       4.709647744733e-01 
       5.251192703764e-04      -8.471903610913e-01      -2.475351535639e+00      -2.475502205879e+00      -8.099631285015e-01      -2.474994977022e+00       4.707472126394e-01       4.707420669888e-01 
       5.670107454121e-04      -7.872173358338e-01      -2.884617045330e+00      -2.884815418559e+00      -7.462498803306e-01      -2.884162176409e+00       4.704880752226e-01       4.704899321756e-01 
       6.122441196689e-04      -7.091785062495e-01      -3.361315192726e+00      -3.361575143563e+00      -6.661066122379e-01      -3.360748750758e+00       4.701982616259e-01       4.702053692889e-01 
       6.610859936996e-04      -6.218653671241e-01      -3.916485878387e+00      -3.916824715890e+00      -5.792092855611e-01      -3.915796942002e+00       4.698748603490e-01       4.698851959095e-01 
       7.138242361596e-04      -5.378651950175e-01      -4.562956487636e+00      -4.563395525348e+00      -4.989495023862e-01      -4.562137538990e+00       4.695145372421e-01       4.695260027754e-01 
       7.707696804727e-04      -4.714189471996e-01      -5.315625925899e+00      -5.316191049831e+00      -4.399930110001e-01      -5.314673161081e+00       4.691133801136e-01       4.691240739867e-01 
       8.322579568497e-04      -4.342354206784e-01      -6.191792254833e+00      -6.192514390742e+00      -4.137081944095e-01      -6.190704434640e+00       4.686667381252e-01       4.686752623636e-01 
       8.986514704559e-04      -4.298263050982e-01      -7.211530135660e+00      -7.212445554437e+00      -4.221449986560e-01      -7.210305478747e+00       4.681691101321e-01       4.681748347917e-01 
       9.703415373875e-04      -4.485316280402e-01      -8.398124840524e+00      -8.399275269656e+00      -4.529724185290e-01      -8.396756150723e+00       4.676141299792e-01       4.676173038561e-01 
       1.047750691046e-03      -4.671796184136e-01      -9.778570467251e+00      -9.780002906497e+00      -4.796170455604e-01      -9.777039822295e+00       4.669946914491e-01       4.669962925841e-01 
       1.131335172503e-03      -4.575802274090e-01      -1.138414127375e+01      -1.138590745237e+01      -4.709838604849e-01      -1.138241689082e+01       4.663032245717e-01       4.663045175326e-01 
       1.221587619537e-03      -4.041959678695e-01      -1.325104520982e+01      -1.325320082319e+01      -4.108368334681e-01      -1.324908333879e+01       4.655319950636e-01       4.655339166636e-01 
       1.319039970183e-03      -3.220722108377e-01      -1.542117096975e+01      -1.542377482325e+01      -3.169509631258e-01      -1.541892291220e+01       4.646732589470e-01       4.646759349595e-01 
       1.424266597921e-03      -2.560953889452e-01      -1.794302780110e+01      -1.794614186191e+01      -2.397320366149e-01      -1.794044712330e+01       4.637213526891e-01       4.637241086040e-01 
       1.537887696968e-03      -2.465027699020e-01      -2.087254885427e+01      -2.087623806913e+01      -2.247339863104e-01      -2.086958765608e+01       4.626668436861e-01       4.626688302636e-01 
       1.660572937635e-03      -2.782871306193e-01      -2.427425773567e+01      -2.427859263628e+01      -2.586480468503e-01      -2.427084962644e+01       4.614990229084e-01       4.615000366588e-01 
       1.793045413292e-03      -2.770915417912e-01      -2.822256396530e+01      -2.822762692380e+01      -2.648407173217e-01      -2.821860848592e+01       4.602069379006e-01       4.602076170424e-01 
       1.936085902198e-03      -1.972937100368e-01      -3.280313919872e+01      -3.280903536358e+01      -1.942868500870e-01      -3.279851605152e+01       4.587791655438e-01       4.587801899148e-01 
       2.090537469327e-03      -1.127881969679e-01      -3.811450107646e+01      -3.812137488429e+01      -1.168278794022e-01      -3.810911536545e+01       4.572043299722e-01       4.572055291975e-01 
       2.257310435294e-03      -1.255640459799e-01      -4.426979387843e+01      -4.427784998569e+01      -1.272618610888e-01      -4.426359734910e+01       4.554706043565e-01       4.554713433932e-01 
       2.437387741694e-03      -1.660577875835e-01      -5.139878609785e+01      -5.140831270146e+01      -1.537915480191e-01      -5.139174202354e+01       4.535649187054e-01       4.535652681572e-01 
       2.631830744443e-03      -1.055288535572e-01      -5.965010026404e+01      -5.966148806598e+01      -8.406306225406e-02      -5.964217871751e+01       4.514734434169e-01       4.514739523968e-01 
       2.841785469300e-03      -5.934826897717e-02      -6.919369206855e+01      -6.920744371651e+01      -4.445988888555e-02      -6.918494279952e+01       4.491825992307e-01       4.491830997846e-01 
       3.068489366414e-03      -9.908700633932e-02      -8.022359458210e+01      -8.024032001253e+01      -8.442978628693e-02      -8.021411912631e+01       4.466783789682e-01       4.466786121964e-01 
       3.313278603720e-03      -3.829406192267e-02      -9.296091665799e+01      -9.298132247506e+01      -5.775805832249e-02      -9.295078298151e+01       4.439458720378e-01       4.439463084647e-01 
       3.577595942169e-03      -1.446046434518e-02      -1.076570764120e+02      -1.076819739856e+02      -2.319815457313e-01      -1.076464229623e+02       4.409704348664e-01       4.409707251876e-01 
       3.862999239199e-03      -5.334786608723e-03      -1.245972545837e+02      -1.246276240828e+02      -2.707887585787e-01      -1.245862339064e+02       4.377366714503e-01       4.377369363953e-01 
       4.171170630578e-03       4.014996087494e-02      -1.441040580648e+02      -1.441411929103e+02      -2.759259553311e-01      -1.440929953235e+02       4.342289367997e-01       4.342292241367e-01 
       4.503926444729e-03      -1.016935686733e-02      -1.665414209376e+02      -1.665871257988e+02      -3.209085493971e-01      -1.665309972197e+02       4.304315140384e-01       4.304317093650e-01 
       4.863227907969e-03       1.956951865558e-01      -1.923186047253e+02      -1.923753545303e+02       1.995113865050e-01      -1.923098119116e+02       4.263278005858e-01       4.263278005858e-01 
       5.251192703764e-03       1.936628732481e-01      -2.218952706779e+02      -2.219662594176e+02       1.974394622552e-01      -2.218897834786e+02       4.219030324396e-01       4.219030324396e-01 
       5.670107454120e-03       1.914695233684e-01      -2.557851569121e+02      -2.558743172931e+02       1.952034755243e-01      -2.557850228929e+02       4.171417039361e-01       4.171417039361e-01 
       6.122441196689e-03       1.891198176514e-01      -2.945586975049e+02      -2.946709771331e+02       1.928079787137e-01      -2.945666523272e+02       4.120266072165e-01       4.120266072165e-01 
       6.610859936996e-03       1.866029697110e-01      -3.388481393263e+02      -3.389901932564e+02       1.902420385697e-01      -3.388681726602e+02       4.065422333660e-01       4.065422333660e-01 
       7.138242361596e-03       1.839089464872e-01      -3.893495988798e+02      -3.895304840789e+02       1.874954764508e-01      -3.893875213215e+02       4.006730581103e-01       4.006730581103e-01 
       7.707696804727e-03       1.810315972763e-01      -4.468249177594e+02      -4.470563466120e+02       1.845620033569e-01      -4.468885552956e+02       3.944033387420e-01       3.944033387420e-01 
       8.322579568496e-03       1.779649319264e-01      -5.121018439021e+02      -5.123987326751e+02       1.814354929597e-01      -5.122014810918e+02       3.877175255463e-01       3.877175255463e-01 
       8.986514704559e-03       1.746981479001e-01      -5.860713113338e+02      -5.864535412307e+02       1.781049989924e-01      -5.862211579967e+02       3.806005006979e-01       3.806005006979e-01 
       9.703415373875e-03       1.712256038898e-01      -6.696813624792e+02      -6.701753216691e+02       1.745647441107e-01      -6.699008374424e+02       3.730367860437e-01       3.730367860437e-01 
       1.047750691046e-02       1.675424211941e-01      -7.639293130620e+02      -7.645686912153e+02       1.708097194349e-01      -7.642436997747e+02       3.650112831265e-01       3.650112831265e-01 
