# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.04775e-05 to 66.1767 h/Mpc,
# number of wavenumbers equal to 130
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_dmeff                5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.047750691046e-05      -1.585042200802e-05      -1.188786610639e-05      -1.188786651734e-05      -1.585041425869e-05      -1.200118372898e-05       6.122075869832e-01       5.968372822875e-01 
       1.319039970183e-05      -2.512115999608e-05      -1.884099458743e-05      -1.884099561969e-05      -2.512114053068e-05      -1.902058935745e-05       6.122073851709e-01       5.968371428820e-01 
       1.660572937635e-05      -3.981419304008e-05      -2.986095773642e-05      -2.986096032930e-05      -3.981414414557e-05      -3.014559237272e-05       6.122071037827e-01       5.968369647214e-01 
       2.090537469327e-05      -6.310083172968e-05      -4.732640990595e-05      -4.732641641887e-05      -6.310070891321e-05      -4.777751559976e-05       6.122066442517e-01       5.968366667796e-01 
       2.631830744443e-05      -1.000070381365e-04      -7.500725320690e-05      -7.500726956703e-05      -1.000067296372e-04      -7.572218288127e-05       6.122058769449e-01       5.968361562136e-01 
       3.313278603720e-05      -1.584978627146e-04      -1.188783569810e-04      -1.188783980758e-04      -1.584970878139e-04      -1.200113822071e-04       6.122046717883e-01       5.968353543103e-01 
       4.171170630578e-05      -2.511956166595e-04      -1.884091711666e-04      -1.884092743912e-04      -2.511936702547e-04      -1.902047394744e-04       6.122027445871e-01       5.968340634688e-01 
       5.251192703764e-05      -3.981017278314e-04      -2.986075900536e-04      -2.986078493399e-04      -3.980968389080e-04      -3.014529830554e-04       6.121996885419e-01       5.968320170233e-01 
       6.610859936996e-05      -6.309072943600e-04      -4.732590758630e-04      -4.732597271589e-04      -6.308950148627e-04      -4.777677378662e-04       6.121948557314e-01       5.968287823210e-01 
       8.322579568497e-05      -9.998166539966e-04      -7.500599281178e-04      -7.500615641169e-04      -9.997858127845e-04      -7.572032095961e-04       6.121872082303e-01       5.968236710502e-01 
       1.047750691046e-04      -1.584341334470e-03      -1.188751904883e-03      -1.188756014209e-03      -1.584263879453e-03      -1.200067048895e-03       6.121750884875e-01       5.968155640798e-01 
       1.319039970183e-04      -2.510355612704e-03      -1.884012215689e-03      -1.884022537816e-03      -2.510161111131e-03      -1.901929955213e-03       6.121558727299e-01       5.968027129365e-01 
       1.660572937635e-04      -3.976997741276e-03      -2.985876285428e-03      -2.985902213344e-03      -3.976509400795e-03      -3.014234931078e-03       6.121254267402e-01       5.967823494950e-01 
       2.090537469327e-04      -6.298979619903e-03      -4.732089492398e-03      -4.732154619659e-03      -6.297753859552e-03      -4.776936868952e-03       6.120771893696e-01       5.967500846805e-01 
       2.631830744443e-04      -9.972825713184e-03      -7.499340246707e-03      -7.499503833216e-03      -9.969750314135e-03      -7.570172499526e-03       6.120007739241e-01       5.966989574278e-01 
       3.313278603720e-04      -1.577981004367e-02      -1.188435714904e-02      -1.188476803817e-02      -1.577209917993e-02      -1.199600160518e-02       6.118797539266e-01       5.966179582006e-01 
       4.171170630578e-04      -2.494399075011e-02      -1.883218245700e-02      -1.883321450573e-02      -2.492467825055e-02      -1.900758070216e-02       6.116881809722e-01       5.964896641076e-01 
       5.251192703764e-04      -3.936995735772e-02      -2.983882964694e-02      -2.984142170794e-02      -3.932167031862e-02      -3.011294794706e-02       6.113851366639e-01       5.962865326329e-01 
       6.610859936996e-04      -6.198812675610e-02      -4.727086515300e-02      -4.727737487014e-02      -6.186772169655e-02      -4.769565383624e-02       6.109062929649e-01       5.959650954404e-01 
       8.322579568497e-04      -9.722461038173e-02      -7.486789414465e-02      -7.488424112220e-02      -9.692566938943e-02      -7.551711047855e-02       6.101509957185e-01       5.954569167715e-01 
       1.047750691046e-03      -1.515583944586e-01      -1.185289471269e-01      -1.185699893803e-01      -1.508212691973e-01      -1.194984565473e-01       6.089629538921e-01       5.946546741989e-01 
       1.319039970183e-03      -2.339601911132e-01      -1.875340514326e-01      -1.876370681987e-01      -2.321624488150e-01      -1.889249826922e-01       6.071024353393e-01       5.933911213097e-01 
       1.660572937635e-03      -3.555788570227e-01      -2.964244943486e-01      -2.966857436220e-01      -3.512545179963e-01      -2.982793818182e-01       6.042239703215e-01       5.914220038933e-01 
       2.090537469327e-03      -5.270775850116e-01      -4.678249405693e-01      -4.684832508471e-01      -5.169779557099e-01      -4.699401498916e-01       5.997968090377e-01       5.883519725260e-01 
       2.631830744443e-03      -7.503783869639e-01      -7.365798794302e-01      -7.382320106144e-01      -7.279017610883e-01      -7.380642645663e-01       5.931005151901e-01       5.836053386725e-01 
       3.313278603720e-03      -1.000133867443e+00      -1.155510721998e+00      -1.159645184835e+00      -9.539642452341e-01      -1.153913347416e+00       5.832382876176e-01       5.763742499720e-01 
       4.171170630578e-03      -1.194799679400e+00      -1.802808985442e+00      -1.813123954371e+00      -1.112428915671e+00      -1.792908410982e+00       5.692859445506e-01       5.656123455629e-01 
       5.251192703764e-03      -1.185170154812e+00      -2.790287390505e+00      -2.815915930672e+00      -1.073924545820e+00      -2.764086031018e+00       5.506655583939e-01       5.501661080329e-01 
       6.610859936996e-03      -8.572544287776e-01      -4.270305492286e+00      -4.333597688888e+00      -7.898661298121e-01      -4.223788599303e+00       5.276530868538e-01       5.291755434776e-01 
       8.322579568497e-03      -4.422250954018e-01      -6.437287165002e+00      -6.592200297202e+00      -5.384201747232e-01      -6.393936674280e+00       5.013409634749e-01       5.027219040333e-01 
       1.047750691046e-02      -5.519991764036e-01      -9.515817309269e+00      -9.890025297107e+00      -6.770002014081e-01      -9.567607060456e+00       4.720000035424e-01       4.719573858082e-01 
       1.319039970183e-02      -8.164828302856e-01      -1.371284983178e+01      -1.459947884725e+01      -6.281881290621e-01      -1.406846216861e+01       4.374643783533e-01       4.372529039609e-01 
       1.660572937633e-02      -3.300826591734e-01      -1.908762486208e+01      -2.112826635977e+01      -4.790719718493e-01      -2.022533152901e+01       3.964312741348e-01       3.965884205448e-01 
       2.090537453514e-02      -6.200904108925e-01      -2.532772203286e+01      -2.981911684082e+01      -4.418802391201e-01      -2.829989104211e+01       3.497979561305e-01       3.497437734643e-01 
       2.631818545635e-02      -3.501429276038e-01      -3.158426809500e+01      -4.079939261646e+01      -4.467075600545e-01      -3.824422518441e+01       2.981517846789e-01       2.981544337991e-01 
       3.311571692125e-02      -4.189378542778e-01      -3.700040413553e+01      -5.388043329728e+01      -3.628331689812e-01      -4.978725567878e+01       2.450930682892e-01       2.451144224090e-01 
       4.113809243311e-02      -1.743359976888e-01      -4.282717021807e+01      -6.819774756639e+01      -2.685614947705e-01      -6.240042124999e+01       1.990278143430e-01       1.990330084157e-01 
       4.792590854610e-02      -2.842791413751e-01      -5.070746754250e+01      -8.001049536998e+01      -2.450885253614e-01      -7.327970235003e+01       1.721921766194e-01       1.721938946812e-01 
       5.284436902701e-02      -2.033435634331e-01      -5.909097955473e+01      -8.876590067307e+01      -2.030057530663e-01      -8.172637461512e+01       1.579388514434e-01       1.579388514434e-01 
       5.689644391095e-02      -1.917898587190e-01      -6.746415730270e+01      -9.616856991714e+01      -1.914695198573e-01      -8.906441627807e+01       1.484736279055e-01       1.484736279055e-01 
       6.051252627066e-02      -1.828351533986e-01      -7.555664383969e+01      -1.028736369616e+02      -1.825284177130e-01      -9.578819799480e+01       1.411661696986e-01       1.411661696986e-01 
       6.388413457411e-02      -1.751272777511e-01      -8.310375440957e+01      -1.091277703155e+02      -1.748325265578e-01      -1.020596335144e+02       1.349499534927e-01       1.349499534927e-01 
       6.711249296401e-02      -1.680025448763e-01      -8.985019813548e+01      -1.150260937143e+02      -1.677192337232e-01      -1.079178878831e+02       1.292969329696e-01       1.292969329696e-01 
       7.025823437965e-02      -1.611070376558e-01      -9.556828451725e+01      -1.205993547735e+02      -1.608351674718e-01      -1.133535688416e+02       1.239195684039e-01       1.239195684039e-01 
       7.336115587705e-02      -1.542555731526e-01      -1.000795476371e+02      -1.258500091590e+02      -1.539953987714e-01      -1.183415789457e+02       1.186594831516e-01       1.186594831516e-01 
       7.644928796912e-02      -1.473691359548e-01      -1.032761096230e+02      -1.307723360820e+02      -1.471209781580e-01      -1.228608435659e+02       1.134390973921e-01       1.134390973921e-01 
       7.954353299775e-02      -1.404434617074e-01      -1.051421833822e+02      -1.353649009341e+02      -1.402075747563e-01      -1.269077892020e+02       1.082365033423e-01       1.082365033423e-01 
       8.266024078725e-02      -1.335276866345e-01      -1.057710180372e+02      -1.396392543920e+02      -1.333041625002e-01      -1.305060456297e+02       1.030698913491e-01       1.030698913491e-01 
       8.581273398637e-02      -1.267089058901e-01      -1.053757725256e+02      -1.436265906715e+02      -1.264976077682e-01      -1.337135535150e+02       9.798641990267e-02       9.798641990267e-02 
       8.901225918437e-02      -1.200985455690e-01      -1.042913014456e+02      -1.473826330523e+02      -1.198990684115e-01      -1.366268390728e+02       9.305286983552e-02       9.305286983552e-02 
       9.226860540985e-02      -1.138176387801e-01      -1.029606823726e+02      -1.509878917875e+02      -1.136293012585e-01      -1.393791788284e+02       8.834517251176e-02       8.834517251176e-02 
       9.559052048996e-02      -1.079813051925e-01      -1.019048871348e+02      -1.545448692810e+02      -1.078031726328e-01      -1.421337025579e+02       8.393819155594e-02       8.393819155594e-02 
       9.898599946599e-02      -1.026847426200e-01      -1.016762007684e+02      -1.581713128093e+02      -1.025156804224e-01      -1.450707887732e+02       7.989578348808e-02       7.989578348808e-02 
       1.024624891378e-01      -9.798816055796e-02      -1.027910422975e+02      -1.619875458108e+02      -9.782691753952e-02      -1.483674790458e+02       7.626046675023e-02       7.626046675023e-02 
       1.060270359164e-01      -9.390689449132e-02      -1.056550808687e+02      -1.661025346664e+02      -9.375220565810e-02      -1.521746860255e+02       7.304638300734e-02       7.304638300734e-02 
       1.096863943056e-01      -9.040219703428e-02      -1.104739915539e+02      -1.705935078138e+02      -9.025290295654e-02      -1.565869364622e+02       7.023255499856e-02       7.023255499856e-02 
       1.134471073830e-01      -8.738461370677e-02      -1.171957172124e+02      -1.754922044902e+02      -8.723976913636e-02      -1.616223327538e+02       6.776444283055e-02       6.776444283055e-02 
       1.173155669539e-01      -8.471662330543e-02      -1.254486150387e+02      -1.807658056147e+02      -8.457559679433e-02      -1.671975313233e+02       6.555485496595e-02       6.555485496595e-02 
       1.212980586983e-01      -8.222972259944e-02      -1.345496368042e+02      -1.863114132156e+02      -8.209225574106e-02      -1.731244612242e+02       6.349449208543e-02       6.349449208543e-02 
       1.254007961065e-01      -7.974613824259e-02      -1.435593194580e+02      -1.919605477743e+02      -7.961235609515e-02      -1.791223621913e+02       6.146582530921e-02       6.146582530921e-02 
       1.296299459934e-01      -7.710587629104e-02      -1.514129153907e+02      -1.974975475910e+02      -7.697623778069e-02      -1.848527797023e+02       5.936071894067e-02       5.936071894067e-02 
       1.339916477160e-01      -7.419560342379e-02      -1.571139658141e+02      -2.026970501732e+02      -7.407079053906e-02      -1.899796819191e+02       5.709986406734e-02       5.709986406734e-02 
       1.384920277736e-01      -7.097209574606e-02      -1.599665119195e+02      -2.073719461524e+02      -7.085285496519e-02      -1.942440271329e+02       5.464886978862e-02       5.464886978862e-02 
       1.431372111762e-01      -6.747541843330e-02      -1.598006407853e+02      -2.114265666074e+02      -6.736237876715e-02      -1.975416075517e+02       5.202790620295e-02       5.202790620295e-02 
       1.479333307714e-01      -6.382344235757e-02      -1.571174898812e+02      -2.148930154529e+02      -6.371695028124e-02      -1.999748471917e+02       4.930898344558e-02       4.930898344558e-02 
       1.528865355934e-01      -6.019111869433e-02      -1.531021583108e+02      -2.179512831867e+02      -6.009112405900e-02      -2.018712459508e+02       4.660350946323e-02       4.660350946323e-02 
       1.580029992204e-01      -5.677120173061e-02      -1.494394464280e+02      -2.209063136402e+02      -5.667723187883e-02      -2.037365993852e+02       4.403731948775e-02       4.403731948775e-02 
       1.632889290723e-01      -5.372783837852e-02      -1.479358732116e+02      -2.241259319000e+02      -5.363907583501e-02      -2.061467212370e+02       4.172008605121e-02       4.172008605121e-02 
       1.687505775527e-01      -5.114848672661e-02      -1.499939113436e+02      -2.279312746799e+02      -5.106394584307e-02      -2.095777958443e+02       3.971336065000e-02       3.971336065000e-02 
       1.743942559171e-01      -4.901604410620e-02      -1.560923652118e+02      -2.324872794186e+02      -4.893480306660e-02      -2.142377122064e+02       3.801132965476e-02       3.801132965476e-02 
       1.802263517371e-01      -4.720716376759e-02      -1.654466166351e+02      -2.377010119068e+02      -4.712859355690e-02      -2.199311402155e+02       3.653685782696e-02       3.653685782696e-02 
       1.862533508214e-01      -4.553382756318e-02      -1.761121526531e+02      -2.432537713639e+02      -4.545772094394e-02      -2.261015662297e+02       3.517029632414e-02       3.517029632414e-02 
       1.924818644494e-01      -4.378960555236e-02      -1.854151876918e+02      -2.486022366696e+02      -4.371620116574e-02      -2.318976347680e+02       3.377512827618e-02       3.377512827618e-02 
       1.989186627765e-01      -4.181687717293e-02      -1.908464066472e+02      -2.531280540938e+02      -4.174673416429e-02      -2.364314795488e+02       3.224291793825e-02       3.224291793825e-02 
       2.055707152847e-01      -3.958508333142e-02      -1.912478192530e+02      -2.564796208939e+02      -3.951880005171e-02      -2.392390810638e+02       3.054847976832e-02       3.054847976832e-02 
       2.124452391818e-01      -3.719965778127e-02      -1.874740059079e+02      -2.587515337640e+02      -3.713758134158e-02      -2.405277569180e+02       2.875749762051e-02       2.875749762051e-02 
       2.195497567139e-01      -3.484651471878e-02      -1.822044331318e+02      -2.604188796972e+02      -3.478857528226e-02      -2.410938050675e+02       2.698981828403e-02       2.698981828403e-02 
       2.268921624510e-01      -3.270436875450e-02      -1.788300060172e+02      -2.621017670616e+02      -3.265010754370e-02      -2.419604224869e+02       2.536209163981e-02       2.536209163981e-02 
       2.344808017550e-01      -3.087605762746e-02      -1.799247067108e+02      -2.643522585038e+02      -3.082480912925e-02      -2.439709678769e+02       2.394435396465e-02       2.394435396465e-02 
       2.423245618548e-01      -2.934234637590e-02      -1.858230992721e+02      -2.673748337061e+02      -2.929351080545e-02      -2.473438295210e+02       2.272927355257e-02       2.272927355257e-02 
       2.504329772620e-01      -2.796331899956e-02      -1.940945172382e+02      -2.707585888640e+02      -2.791661628749e-02      -2.513730973286e+02       2.162792734577e-02       2.162792734577e-02 
       2.588163516754e-01      -2.655807625101e-02      -2.007008797968e+02      -2.736420600103e+02      -2.651361851340e-02      -2.547394864960e+02       2.052068331867e-02       2.052068331867e-02 
       2.674858990930e-01      -2.501545382534e-02      -2.024253394309e+02      -2.752618607694e+02      -2.497357930455e-02      -2.563288168723e+02       1.933189866240e-02       1.933189866240e-02 
       2.764539076010e-01      -2.334797579677e-02      -1.989371745636e+02      -2.753442099497e+02      -2.330897333041e-02      -2.558664890887e+02       1.806536502707e-02       1.806536502707e-02 
       2.857339303080e-01      -2.167940855414e-02      -1.932367860230e+02      -2.743463960644e+02      -2.164328447733e-02      -2.541829551187e+02       1.679970042309e-02       1.679970042309e-02 
       2.953410092148e-01      -2.015747686908e-02      -1.896921656688e+02      -2.732050165894e+02      -2.012392154519e-02      -2.527091782591e+02       1.563335434943e-02       1.563335434943e-02 
       3.052919395542e-01      -1.883312275808e-02      -1.905452213537e+02      -2.724407533264e+02      -1.880172943398e-02      -2.522123642548e+02       1.460206423122e-02       1.460206423122e-02 
       3.156055844677e-01      -1.763521577395e-02      -1.940559711431e+02      -2.717447445274e+02      -1.760574371193e-02      -2.521751294329e+02       1.366127815804e-02       1.366127815804e-02 
       3.263032530092e-01      -1.644262118701e-02      -1.959336392439e+02      -2.702273196184e+02      -1.641509542053e-02      -2.512166963836e+02       1.273163082782e-02       1.273163082782e-02 
       3.374091587054e-01      -1.518237630956e-02      -1.930466020700e+02      -2.670398439867e+02      -1.515696775129e-02      -2.481659662332e+02       1.176269315909e-02       1.176269315909e-02 
       3.489509817175e-01      -1.389623556714e-02      -1.865257026824e+02      -2.622615752138e+02      -1.387301304232e-02      -2.432596415342e+02       1.078001708376e-02       1.078001708376e-02 
       3.609605657343e-01      -1.267696953169e-02      -1.803904659315e+02      -2.565984127718e+02      -1.265579716251e-02      -2.376866970224e+02       9.843817245969e-03       9.843817245969e-03 
       3.734747921333e-01      -1.157205315015e-02      -1.771753708041e+02      -2.506266172982e+02      -1.155270050426e-02      -2.323043211734e+02       8.986960140666e-03       8.986960140666e-03 
       3.865366902904e-01      -1.053206809203e-02      -1.748400822109e+02      -2.438984196351e+02      -1.051441856762e-02      -2.264356761698e+02       8.177893525565e-03       8.177893525565e-03 
       4.001968667448e-01      -9.487343451699e-03      -1.695071328986e+02      -2.355253183406e+02      -9.471430254517e-03      -2.187637157381e+02       7.370652169070e-03       7.370652169070e-03 
       4.145153713076e-01      -8.432833939003e-03      -1.604970448621e+02      -2.251609359677e+02      -8.418693314116e-03      -2.089013777660e+02       6.560515739399e-03       6.560515739399e-03 
       4.295641718077e-01      -7.420648051577e-03      -1.508994771639e+02      -2.132576268143e+02      -7.408199734592e-03      -1.976886246095e+02       5.781007022446e-03       5.781007022446e-03 
       4.454304922144e-01      -6.472776560318e-03      -1.424174593700e+02      -2.000464914173e+02      -6.461896276460e-03      -1.855734989123e+02       5.047007433688e-03       5.047007433688e-03 
       4.622214006969e-01      -5.559096063054e-03      -1.327482800762e+02      -1.850727815242e+02      -5.549729881535e-03      -1.718335952738e+02       4.339960877755e-03       4.339960877755e-03 
       4.800702491654e-01      -4.652018175037e-03      -1.196261097547e+02      -1.675729722095e+02      -4.644167829271e-03      -1.554990589173e+02       3.640793037507e-03       3.640793037507e-03 
       4.991459272112e-01      -3.774684646567e-03      -1.047905120194e+02      -1.475644401785e+02      -3.768298206484e-03      -1.368483286504e+02       2.963891006616e-03       2.963891006616e-03 
       5.196665217302e-01      -2.944607680627e-03      -8.949487674310e+01      -1.251937336036e+02      -2.939599188763e-03      -1.161918646803e+02       2.321688888972e-03       2.321688888972e-03 
       5.419201087032e-01      -2.138757091606e-03      -7.129835369427e+01      -9.962122473004e+01      -2.135091436865e-03      -9.247086261215e+01       1.699073501768e-03       1.699073501768e-03 
       5.662975451962e-01      -1.361678242470e-03      -5.011937294865e+01      -7.039595947298e+01      -1.359309164350e-03      -6.530336490748e+01       1.098813671369e-03       1.098813671369e-03 
       5.933463737275e-01      -6.266299982000e-04      -2.678939021473e+01      -3.723201355694e+01      -6.254848837395e-04      -3.458132712052e+01       5.300333129002e-04       5.300333129002e-04 
       6.238638458458e-01       7.189672348460e-05       4.829124308889e-01       8.203337854873e-01       7.187566711228e-05       7.456306871690e-01      -1.033698737127e-05      -1.033698737127e-05 
       6.590669257916e-01       7.196581366053e-04       3.150408512583e+01       4.446992628563e+01       7.185557035201e-04       4.122904455983e+01      -5.121783034782e-04      -5.121783034782e-04 
       7.009246080454e-01       1.304026542290e-03       6.741836074634e+01       9.477142242146e+01       1.301946295803e-03       8.790701673587e+01      -9.655129485085e-04      -9.655129485085e-04 
       7.528593308799e-01       1.792507034188e-03       1.084610248395e+02       1.523810149058e+02       1.789607050209e-03       1.413530482864e+02      -1.345720094144e-03      -1.345720094144e-03 
       8.213469537518e-01       2.121333265159e-03       1.539382388435e+02       2.161547615853e+02       2.117876304084e-03       2.005242683391e+02      -1.603950216765e-03      -1.603950216765e-03 
       9.196980813302e-01       2.147331628080e-03       1.962776403301e+02       2.754921073420e+02       2.143817069669e-03       2.555831705548e+02      -1.630492967573e-03      -1.630492967573e-03 
       1.075112183810e+00       1.598870653136e-03       2.002036973571e+02       2.808755790133e+02       1.596248040539e-03       2.605913295725e+02      -1.216549015958e-03      -1.216549015958e-03 
       1.322697471132e+00       4.247110246260e-04       7.997756397981e+01       1.120526089858e+02       4.240194252302e-04       1.039768336485e+02      -3.206953966267e-04      -3.206953966267e-04 
       1.662328205042e+00      -3.813439282258e-04      -1.164854239983e+02      -1.635520282747e+02      -3.807053434898e-04      -1.517266697045e+02       2.962822047927e-04       2.962822047927e-04 
       2.092692408506e+00      -2.124996060866e-04      -1.037492388813e+02      -1.454828505149e+02      -2.121410055436e-04      -1.349841632140e+02       1.663218087556e-04       1.663218087556e-04 
       2.634543445090e+00       1.008980728692e-04       7.451230618097e+01       1.046006511976e+02       1.007354623401e-04       9.703970166355e+01      -7.544246501483e-05      -7.544246501483e-05 
       3.316693691389e+00       6.630938148203e-06       6.413947758995e+00       8.938644629019e+00       6.622145806944e-06       8.299586359539e+00      -4.071203685454e-06      -4.071203685454e-06 
       4.175469971226e+00      -1.004673418568e-05      -2.101764398185e+01      -2.945638443206e+01      -1.002849249263e-05      -2.733238111937e+01       8.459484530048e-06       8.459484530048e-06 
       5.256605252960e+00       3.961402178025e-06       1.023833526904e+01       1.434825755215e+01       3.955795661526e-06       1.331374333725e+01      -2.599959502820e-06      -2.599959502820e-06 
       6.617673932723e+00       3.293209394197e-07      -2.190193870248e-01      -3.004973641764e-01       3.293956252788e-07      -2.795295084478e-01       3.444249331181e-08       3.444249331181e-08 
       8.331157880872e+00       1.110269807558e-08      -1.687272800280e+00      -2.365553992480e+00       1.147060056433e-08      -2.194891833541e+00       1.706395004452e-07       1.706395004452e-07 
       1.048830636590e+01       1.408658889649e-07      -7.516060250403e-02      -1.053082853889e-01       1.408762215125e-07      -9.771808076736e-02       4.793379936560e-09       4.793379936560e-09 
       1.320399541071e+01       9.610181022663e-08       6.265393307779e-02       8.796544625709e-02       9.609636494064e-08       8.160569812918e-02      -2.525727543050e-09      -2.525727543050e-09 
       1.662284535976e+01       6.135577694434e-08       8.529372588366e-02       1.195157311046e-01       6.135110612059e-08       1.109004515649e-01      -2.165706184766e-09      -2.165706184766e-09 
       2.092692243973e+01       3.847591611527e-08       7.481788346944e-02       1.046500115195e-01       3.847333381542e-08       9.712656186425e-02      -1.196752342431e-09      -1.196752342431e-09 
       2.634543445002e+01       2.406543731031e-08       5.957683522361e-02       8.302807487149e-02       2.406414297284e-08       7.709204906015e-02      -5.993436114700e-10      -5.993436114700e-10 
       3.316693691389e+01       1.505601642005e-08       4.479177048707e-02       6.212584845969e-02       1.505540426222e-08       5.771661139417e-02      -2.831177704416e-10      -2.831177704416e-10 
       4.175469971226e+01       9.427459325813e-09       3.152978668804e-02       4.339751936200e-02       9.427188745922e-09       4.035406104216e-02      -1.248974427000e-10      -1.248974427000e-10 
       5.256605252960e+01       5.908468782018e-09       1.978675080487e-02       2.686728346685e-02       5.908362582318e-09       2.502359938836e-02      -4.886704472484e-11      -4.886704472484e-11 
       6.617673932723e+01       3.708028414139e-09       1.024723520977e-02       1.360093628417e-02       3.707994209284e-09       1.270264485330e-02      -1.565166248801e-11      -1.565166248801e-11 
