# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.646043532333e-10       7.653263648023e-15       2.380572449664e-13       6.776159236137e-17       9.046338868296e-11       9.751315796514e-12      -8.351244237637e-15 
   41       1.670017822136e-10       8.304886767638e-15       2.284586226420e-13       7.119228914351e-17       8.598777924672e-11       9.311592852264e-12      -6.389559740031e-15 
   42       1.694089273242e-10       8.995242772846e-15       2.178260424960e-13       7.471054957532e-17       8.180192043124e-11       8.896431678559e-12      -5.644107561539e-15 
   43       1.718349340132e-10       9.723866981967e-15       2.060482316127e-13       7.831659219744e-17       7.789473295508e-11       8.506510739354e-12      -5.882708532927e-15 
   44       1.742868947724e-10       1.048997092587e-14       1.929917360882e-13       8.201063323821e-17       7.423783276986e-11       8.141179946033e-12      -6.802861866203e-15 
   45       1.767695086299e-10       1.129272579970e-14       1.785110575744e-13       8.579284947337e-17       7.079567611032e-11       7.798904357032e-12      -8.072937053487e-15 
   46       1.792845495039e-10       1.213225974586e-14       1.624863234872e-13       8.966325459387e-17       6.756285811558e-11       7.479022566910e-12      -9.481086255985e-15 
   47       1.818307976648e-10       1.300892560403e-14       1.447942462379e-13       9.362178513389e-17       6.453562139883e-11       7.180319750667e-12      -1.082316205187e-14 
   48       1.844038498342e-10       1.392302190602e-14       1.252965648724e-13       9.766833148113e-17       6.170060568684e-11       6.900435465765e-12      -1.185903195145e-14 
   49       1.869958551177e-10       1.487479085347e-14       1.038391704069e-13       1.018027353262e-16       5.903413366891e-11       6.635781583828e-12      -1.231069093682e-14 
   50       1.895987293153e-10       1.586442717796e-14       8.029466234232e-14       1.060247836437e-16       5.650934388178e-11       6.382582572072e-12      -1.195046306752e-14 
   51       1.922154390679e-10       1.689211224802e-14       5.470566551514e-14       1.103341946276e-16       5.412152871781e-11       6.140519626070e-12      -1.089820971943e-14 
   52       1.948513242084e-10       1.795798572454e-14       2.717890307372e-14       1.147306235291e-16       5.186843967879e-11       5.909933835556e-12      -9.401532571755e-15 
   53       1.975107890907e-10       1.906213401324e-14      -2.153693242140e-15       1.192136631419e-16       4.974270476057e-11       5.690761730035e-12      -7.755031717014e-15 
   54       2.001972022104e-10       2.020458875457e-14      -3.313381394588e-14       1.237828410887e-16       4.773148357422e-11       5.482506026948e-12      -6.302657686195e-15 
   55       2.029129381559e-10       2.138534248594e-14      -6.561527072149e-14       1.284376720304e-16       4.582038616473e-11       5.284465639319e-12      -5.357167596423e-15 
   56       2.056597456214e-10       2.260440364423e-14      -9.959337128912e-14       1.331778357000e-16       4.400715957279e-11       5.096559623312e-12      -4.929674379507e-15 
   57       2.084382949943e-10       2.386175258201e-14      -1.351056361661e-13       1.380030383429e-16       4.229079722652e-11       4.918656680049e-12      -4.937031532384e-15 
   58       2.112479512666e-10       2.515732476946e-14      -1.721953146232e-13       1.429129611068e-16       4.066739826456e-11       4.750315095504e-12      -5.277984004492e-15 
   59       2.140866792004e-10       2.649100995334e-14      -2.109117610392e-13       1.479072594680e-16       3.912998877535e-11       4.590763589682e-12      -5.832290513360e-15 
   60       2.169509484951e-10       2.786265131588e-14      -2.513108112539e-13       1.529855626575e-16       3.766834303643e-11       4.438882165806e-12      -6.459845860189e-15 
   61       2.198372227617e-10       2.927198889563e-14      -2.934433198978e-13       1.581475518774e-16       3.627182358807e-11       4.293505515425e-12      -7.029627737739e-15 
   62       2.227470315407e-10       3.071847691239e-14      -3.373169143518e-13       1.633932167657e-16       3.493905080065e-11       4.154456140195e-12      -7.516115340467e-15 
   63       2.256828736505e-10       3.220142375974e-14      -3.829262848309e-13       1.687226557414e-16       3.367009640907e-11       4.021710197262e-12      -7.923053972964e-15 
   64       2.286466901416e-10       3.372004156703e-14      -4.302642665724e-13       1.741360041815e-16       3.246357487019e-11       3.895086666461e-12      -8.255607570816e-15 
   65       2.316398197160e-10       3.527344358975e-14      -4.793218405468e-13       1.796334363470e-16       3.131656038746e-11       3.774238433963e-12      -8.520427324767e-15 
   66       2.346629541466e-10       3.686064159990e-14      -5.300881341681e-13       1.852151673091e-16       3.022450393558e-11       3.658643375910e-12      -8.725720304900e-15 
   67       2.377160936968e-10       3.848054327643e-14      -5.825504220048e-13       1.908814548749e-16       2.918115028510e-11       3.547595442058e-12      -8.881318084802e-15 
   68       2.407990142242e-10       4.013207033920e-14      -6.366940702625e-13       1.966325896742e-16       2.818020881404e-11       3.440402734682e-12      -8.997655193379e-15 
   69       2.439128780501e-10       4.181454658044e-14      -6.925023555818e-13       2.024688587808e-16       2.722094454903e-11       3.337048282775e-12      -9.082310710803e-15 
   70       2.470588709077e-10       4.352738413194e-14      -7.499566106324e-13       2.083905781456e-16       2.630357616098e-11       3.237647755536e-12      -9.142885968523e-15 
   71       2.502376882086e-10       4.526997014804e-14      -8.090362763773e-13       2.143981053787e-16       2.542758497789e-11       3.142250756242e-12      -9.188072730445e-15 
   72       2.534495035483e-10       4.704166728413e-14      -8.697189013455e-13       2.204918413723e-16       2.459167686344e-11       3.050837199881e-12      -9.227693935460e-15 
   73       2.566939372124e-10       4.884181417509e-14      -9.319801409045e-13       2.266722319239e-16       2.379374409544e-11       2.963313690788e-12      -9.272744439966e-15 
   74       2.599700246825e-10       5.066972591373e-14      -9.957937565333e-13       2.329397693598e-16       2.303082724439e-11       2.879509900288e-12      -9.335431760398e-15 
   75       2.632761851422e-10       5.252469452931e-14      -1.061131615094e-12       2.392949941581e-16       2.229907705204e-11       2.799174944326e-12      -9.429216815750e-15 
   76       2.666108650088e-10       5.440582967871e-14      -1.127960790203e-12       2.457383976800e-16       2.159471002932e-11       2.722043940214e-12      -9.564914978927e-15 
   77       2.699746736283e-10       5.631154612383e-14      -1.196234257702e-12       2.522701062973e-16       2.091716069760e-11       2.648059696136e-12      -9.738088337088e-15 
   78       2.733685816256e-10       5.823998322825e-14      -1.265898494260e-12       2.588901423458e-16       2.026643758547e-11       2.577185054511e-12      -9.939417688563e-15 
   79       2.767932630622e-10       6.018915370041e-14      -1.336896165569e-12       2.655985175087e-16       1.964216304699e-11       2.509334151284e-12      -1.015839887716e-14 
   80       2.802490777844e-10       6.215694079544e-14      -1.409166066194e-12       2.723952324125e-16       1.904355551721e-11       2.444370232647e-12      -1.038330274814e-14 
   81       2.837360537708e-10       6.414109551710e-14      -1.482643059428e-12       2.792802762218e-16       1.846941176777e-11       2.382103471756e-12      -1.060113510415e-14 
   82       2.872538694804e-10       6.613923381965e-14      -1.557258017131e-12       2.862536262351e-16       1.791808916238e-11       2.322288785440e-12      -1.079759666124e-14 
   83       2.908018362004e-10       6.814883380979e-14      -1.632937759585e-12       2.933152474801e-16       1.738748791242e-11       2.264623650927e-12      -1.095704300479e-14 
   84       2.943792656672e-10       7.016748491351e-14      -1.709613403135e-12       3.004651076478e-16       1.687556144248e-11       2.208819422397e-12      -1.106573114126e-14 
