# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.04775e-05 to 67.6233 h/Mpc,
# number of wavenumbers equal to 246
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_dmeff                5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.319039970183e-04      -1.922573495653e-01      -1.566571799459e-01      -1.566578847502e-01      -1.918220315964e-01      -1.566681988424e-01       4.724700752708e-01       4.723408290109e-01 
       1.424266597921e-04      -2.210737288826e-01      -1.826422524314e-01      -1.826432083491e-01      -2.204885554693e-01      -1.826542983161e-01       4.724475982131e-01       4.723209952556e-01 
       1.537887696968e-04      -2.536212832726e-01      -2.129362639941e-01      -2.129375600189e-01      -2.528361374885e-01      -2.129492358624e-01       4.724215067473e-01       4.722979353041e-01 
       1.660572937635e-04      -2.901742862817e-01      -2.482532922703e-01      -2.482550486360e-01      -2.891231469435e-01      -2.482669841211e-01       4.723912421187e-01       4.722711376929e-01 
       1.793045413292e-04      -3.309466698659e-01      -2.894255944751e-01      -2.894279735028e-01      -3.295430272778e-01      -2.894396513701e-01       4.723561647582e-01       4.722400124104e-01 
       1.936085902198e-04      -3.760536785432e-01      -3.374231133855e-01      -3.374263339255e-01      -3.741849556846e-01      -3.374369733959e-01       4.723155480164e-01       4.722038832797e-01 
       2.090537469327e-04      -4.254621129621e-01      -3.933761816254e-01      -3.933805383790e-01      -4.229829685856e-01      -3.933890004342e-01       4.722685669119e-01       4.721619747285e-01 
       2.257310435294e-04      -4.789277588075e-01      -4.586019499485e-01      -4.586078391237e-01      -4.756523855750e-01      -4.586125044835e-01       4.722142924943e-01       4.721134032947e-01 
       2.437387741694e-04      -5.359198166872e-01      -5.346351318107e-01      -5.346430851037e-01      -5.316134938161e-01      -5.346416995209e-01       4.721516791986e-01       4.720571610887e-01 
       2.631830744443e-04      -5.955341081181e-01      -6.232637738564e-01      -6.232745033938e-01      -5.899046200002e-01      -6.232639851477e-01       4.720795616051e-01       4.719921074101e-01 
       2.841785469300e-04      -6.563999359334e-01      -7.265708472554e-01      -7.265853041621e-01      -6.490902694585e-01      -7.265615099212e-01       4.719966465753e-01       4.719169543303e-01 
       3.068489366414e-04      -7.165915343377e-01      -8.469825999589e-01      -8.470020514146e-01      -7.071755415262e-01      -8.469594992728e-01       4.719015108207e-01       4.718302562726e-01 
       3.313278603720e-04      -7.735611818496e-01      -9.873247424876e-01      -9.873508708839e-01      -7.615458338635e-01      -9.872824245084e-01       4.717925986014e-01       4.717303984011e-01 
       3.577595942169e-04      -8.241223774264e-01      -1.150887719906e+00      -1.150922750409e+00      -8.089610325801e-01      -1.150819275906e+00       4.716682258600e-01       4.716155906299e-01 
