# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.04775e-05 to 66.1767 h/Mpc,
# number of wavenumbers equal to 130
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_dmeff                5:d_ur                   6:d_tot                  7:phi                    8:psi                
       2.090537453514e-02      -6.201066189699e-01      -2.532857904694e+01      -2.981949215036e+01      -4.418888131153e-01      -2.830032915022e+01       3.498033706366e-01       3.497491830401e-01 
       2.631818545635e-02      -3.501329798466e-01      -3.158661925340e+01      -4.080075854214e+01      -4.467204237190e-01      -3.824570166557e+01       2.981632948176e-01       2.981659506097e-01 
       3.311571692125e-02      -4.189662656459e-01      -3.700667797790e+01      -5.388516575845e+01      -3.628618018378e-01      -4.979208773186e+01       2.451168547814e-01       2.451382130757e-01 
       4.113809243311e-02      -1.745821538671e-01      -4.284200433650e+01      -6.821214928577e+01      -2.686191514708e-01      -6.241448164648e+01       1.990726594414e-01       1.990778587163e-01 
       4.792590854610e-02      -2.842677796301e-01      -5.073222110936e+01      -8.004056555059e+01      -2.451719166402e-01      -7.330810591639e+01       1.722589186995e-01       1.722606356174e-01 
       5.284436902701e-02      -2.034535183654e-01      -5.912533740333e+01      -8.881345425350e+01      -2.031155253802e-01      -8.177056733734e+01       1.580242556913e-01       1.580242556913e-01 
       5.689644391095e-02      -1.919217388358e-01      -6.750812145745e+01      -9.623544211781e+01      -1.916011835944e-01      -8.912590072814e+01       1.485761258468e-01       1.485761258468e-01 
       6.051252627066e-02      -1.829889809689e-01      -7.561161841251e+01      -1.029624101669e+02      -1.826819946436e-01      -9.586930375839e+01       1.412856994907e-01       1.412856994907e-01 
       6.388413457411e-02      -1.753037336898e-01      -8.317203468311e+01      -1.092414958429e+02      -1.750086959008e-01      -1.021632098466e+02       1.350869107151e-01       1.350869107151e-01 
       6.711249296401e-02      -1.682029996304e-01      -8.993478003748e+01      -1.151686297429e+02      -1.679193632553e-01      -1.080475517148e+02       1.294522855979e-01       1.294522855979e-01 
       7.025823437965e-02      -1.613332258711e-01      -9.567389667186e+01      -1.207749999353e+02      -1.610609881747e-01      -1.135135612318e+02       1.240944755891e-01       1.240944755891e-01 
       7.336115587705e-02      -1.545094833344e-01      -1.002116289831e+02      -1.260640600363e+02      -1.542488948159e-01      -1.185370666866e+02       1.188554970339e-01       1.188554970339e-01 
       7.644928796912e-02      -1.476535307812e-01      -1.034410684390e+02      -1.310311824857e+02      -1.474049075801e-01      -1.230980366233e+02       1.136581013130e-01       1.136581013130e-01 
       7.954353299775e-02      -1.407607976384e-01      -1.053480352188e+02      -1.356753879744e+02      -1.405243894491e-01      -1.271935147702e+02       1.084801909871e-01       1.084801909871e-01 
       8.266024078725e-02      -1.338805398156e-01      -1.060260894113e+02      -1.400095647086e+02      -1.336564340526e-01      -1.308482742750e+02       1.033401720037e-01       1.033401720037e-01 
